,RAW_DATA,Time
797,1143858.00,1666716002.9286275
798,1143870.00,1666716002.9417515
799,1143908.00,1666716002.9542181
800,1143936.00,1666716002.9662125
801,1143960.00,1666716002.9791577
802,1143990.00,1666716002.9911225
803,1144029.00,1666716003.004113
804,1144054.00,1666716003.0161092
805,1144637.00,1666716003.0284426
806,1144629.00,1666716003.041528
807,1144650.00,1666716003.053579
808,1144622.00,1666716003.0666735
809,1144628.00,1666716003.0787432
810,1144639.00,1666716003.0916288
811,1144606.00,1666716003.1041048
812,1144613.00,1666716003.1167352
813,1144293.00,1666716003.1289086
814,1144296.00,1666716003.141206
815,1144305.00,1666716003.1533937
816,1144298.00,1666716003.1664736
817,1144292.00,1666716003.1785047
818,1144290.00,1666716003.1917424
819,1144298.00,1666716003.203585
820,1144316.00,1666716003.2167265
821,1144319.00,1666716003.2286866
822,1144444.00,1666716003.2416482
823,1144435.00,1666716003.253839
824,1144410.00,1666716003.2658112
825,1144400.00,1666716003.278778
826,1144393.00,1666716003.290758
827,1144343.00,1666716003.304163
828,1144317.00,1666716003.3158643
829,1144276.00,1666716003.3289628
830,1141863.00,1666716003.3417008
831,1141842.00,1666716003.3535893
832,1141827.00,1666716003.3661451
833,1141825.00,1666716003.3786762
834,1141827.00,1666716003.391723
835,1141817.00,1666716003.404139
836,1141835.00,1666716003.4167328
837,1141819.00,1666716003.4291847
838,1141821.00,1666716003.4417355
839,1141823.00,1666716003.4534788
840,1141812.00,1666716003.4667292
841,1141820.00,1666716003.478553
842,1141808.00,1666716003.491709
843,1141826.00,1666716003.504164
844,1141831.00,1666716003.5167348
845,1142301.00,1666716003.5289354
846,1142301.00,1666716003.5410178
847,1142322.00,1666716003.5540855
848,1142348.00,1666716003.5660105
849,1142358.00,1666716003.5790005
850,1142390.00,1666716003.5909765
851,1142407.00,1666716003.6039288
852,1142421.00,1666716003.6159022
853,1142995.00,1666716003.6288447
854,1143028.00,1666716003.6410983
855,1143046.00,1666716003.6542153
856,1143050.00,1666716003.666678
857,1143071.00,1666716003.6789947
858,1143076.00,1666716003.6914327
859,1143115.00,1666716003.7042112
860,1143138.00,1666716003.7167027
861,1143142.00,1666716003.7288494
862,1143431.00,1666716003.7410479
863,1143409.00,1666716003.7540932
864,1143417.00,1666716003.7659998
865,1143410.00,1666716003.778794
866,1143425.00,1666716003.7917168
867,1143440.00,1666716003.803402
868,1143446.00,1666716003.81661
869,1144152.00,1666716003.8285522
870,1144174.00,1666716003.8417172
871,1144186.00,1666716003.8541512
